step_idx,frame_idx_a,frame_idx_b,used_stride,core_ok,aruco_ok,core_step_rot_deg,aruco_step_rot_deg,rot_err_deg,tdir_err_deg,aruco_t_norm_m,core_t_norm_arb,scale_m_per_core
0,0,2,2,1,1,0.48831708281887976,0.49178008088783326,0.18706338753590945,70.95843673662083,0.004791272220202335,1.0,0.004791272220202335
1,2,4,2,1,1,0.7954713592200636,0.7873478501095323,0.37189845534756466,78.7356294245812,0.01605606007052553,1.0,0.01605606007052553
2,4,5,1,1,1,0.5556233076288744,0.9564600594867282,0.48833675316287967,72.15858715094507,0.023166176486560153,1.0,0.023166176486560153
3,5,6,1,1,1,1.3826921264670087,1.4215247850819244,0.31218440230183647,32.21205651442909,0.010379992962155922,1.0,0.010379992962155922
4,6,9,3,1,1,1.4457467563374198,0.9484832706539091,0.6157341256942918,49.69564387530964,0.025564610339956134,1.0,0.025564610339956134
5,9,10,1,1,1,0.27665562772091956,0.4869629755842488,0.24827181815939917,68.25852817844765,0.009110165331082162,1.0,0.009110165331082162
6,10,13,3,1,1,1.3115834479532393,1.9208326321571272,0.647873165281443,82.84085150697732,0.035352605956031576,1.0,0.035352605956031576
7,13,14,1,1,1,0.23571652717674987,0.09399235022249829,0.20700746899032288,21.486994660023687,0.014379770075438999,1.0,0.014379770075438999
8,14,15,1,1,1,0.8197519189840272,0.52921468591453,0.2995296177572541,77.39178548425015,0.015982494018976993,1.0,0.015982494018976993
9,15,17,2,1,1,1.1090523921878215,1.1528964540477973,0.16518196313730024,42.35285213907276,0.012085580219443932,1.0,0.012085580219443932
10,17,18,1,1,1,0.5436151670034273,0.9367934337590985,0.4086138566386938,81.34377200332398,0.021752028491072814,0.9999999999999999,0.021752028491072817
11,18,19,1,1,1,0.7839109643609343,0.6671906970201773,0.13680036399232784,54.72265025397252,0.009606659032007723,1.0,0.009606659032007723
12,19,20,1,1,1,0.8233045148009116,1.4224004999580115,0.6382549280129168,28.009786078257648,0.04068275141795472,0.9999999999999999,0.04068275141795473
13,20,21,1,1,1,6.380329144198163,4.9826426026811,1.5327144638514125,4.396883401105063,0.186480571493787,1.0,0.186480571493787
14,21,22,1,1,1,1.147155132249352,1.0865362897885942,0.15300068242102813,3.9348651339700518,0.0638867982271767,1.0,0.0638867982271767
15,22,25,3,1,1,1.6835421774122887,1.3014951007940625,0.50806828937746,8.961263960941254,0.09074471786945376,1.0,0.09074471786945376
16,25,28,3,1,1,3.3787107431495533,3.075097058622642,0.6777164032940843,6.959417360735564,0.2245158322380394,1.0,0.2245158322380394
17,28,29,1,1,1,1.335085897234745,3.4228616570706323,4.67182078672901,44.641472460514805,0.2855366452277167,0.9999999999999999,0.28553664522771677
18,29,30,1,1,1,1.4624127978085237,1.1052797016190392,0.5774467708853294,11.495138955041316,0.10230280212141217,1.0,0.10230280212141217
19,30,31,1,1,1,0.34055945250592967,0.9307891355001465,1.247863100376913,42.252009450452704,0.08305369546361815,0.9999999999999999,0.08305369546361817
20,31,32,1,1,1,1.0018641254660179,0.8507047802565576,0.4172380722740175,14.838292079195673,0.07720636290528397,1.0,0.07720636290528397
21,32,33,1,1,1,3.276753819742337,2.0938541846431287,2.4064653854831684,11.966366415541277,0.4417849620620088,1.0,0.4417849620620088
22,33,34,1,1,1,0.07565842551549064,22.017504592282368,21.947681000874777,14.506282583911416,1.3902249085228944,1.0,1.3902249085228944
23,34,36,2,1,1,0.048766516426151096,24.16819746406339,24.17805119322365,31.680200117671152,1.385484775637796,1.0,1.385484775637796
24,36,37,1,1,1,0.06134906086864616,1.072516214287648,1.117953533971494,47.28117583867815,0.03774238959629312,1.0,0.03774238959629312
25,37,38,1,1,1,0.14939935017703637,19.732039550527983,19.619663950909544,7.002662335946549,1.4042500609420752,0.9999999999999999,1.4042500609420754
26,38,40,2,1,1,0.44767457574537645,24.47952657729441,24.049588370113288,85.49829565183325,1.4918085878378466,1.0,1.4918085878378466
27,40,41,1,1,1,0.19321759163082403,22.79093179253091,22.974955544359293,76.06019609952295,1.4377962397594042,0.9999999999999999,1.4377962397594044
